date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2025-03-15,Union Berlin,Bayern Munich,1,1,0.8,1.84
2025-03-15,RB Leipzig,Dortmund,2,0,2.56,4.1
2025-03-16,Bochum,Ein Frankfurt,1,3,1.88,3.29
2025-03-16,Heidenheim,Holstein Kiel,3,1,1.66,1.15
2025-03-16,Stuttgart,Leverkusen,3,4,2.85,2.07
2025-03-28,Leverkusen,Bochum,3,1,2.08,0.7
2025-03-29,Bayern Munich,St Pauli,3,2,4.0,0.84
2025-03-29,M'gladbach,RB Leipzig,1,0,1.8,0.93
2025-03-29,Wolfsburg,Heidenheim,0,1,1.24,1.31
2025-03-29,Hoffenheim,Augsburg,1,1,1.95,0.69
2025-03-29,Holstein Kiel,Werder Bremen,0,3,0.56,1.48
2025-03-29,Ein Frankfurt,Stuttgart,1,0,3.69,0.86
2025-03-30,Freiburg,Union Berlin,1,2,1.01,1.39
2025-03-30,Dortmund,Mainz,3,1,2.7,0.65
2025-04-04,Augsburg,Bayern Munich,1,3,0.57,1.92
2025-04-05,RB Leipzig,Hoffenheim,3,1,1.4,1.19
2025-04-05,Heidenheim,Leverkusen,0,1,1.3,0.37
2025-04-05,Freiburg,Dortmund,1,4,2.03,3.55
2025-04-05,Mainz,Holstein Kiel,1,1,1.65,1.66
2025-04-05,Bochum,Stuttgart,0,4,0.82,2.65
2025-04-05,Werder Bremen,Ein Frankfurt,2,0,1.23,0.52
2025-04-06,St Pauli,M'gladbach,1,1,2.19,0.65
2025-04-06,Union Berlin,Wolfsburg,1,0,1.55,1.8
2025-04-11,Wolfsburg,RB Leipzig,2,3,1.84,1.6
2025-04-12,Leverkusen,Union Berlin,0,0,0.5,0.51
2025-04-12,Hoffenheim,Mainz,2,0,1.42,0.97
2025-04-12,M'gladbach,Freiburg,1,2,0.52,2.32
2025-04-12,Bochum,Augsburg,1,2,1.86,1.03
2025-04-12,Holstein Kiel,St Pauli,1,2,0.69,1.07
2025-04-12,Bayern Munich,Dortmund,2,2,2.95,1.72
2025-04-13,Stuttgart,Werder Bremen,1,2,1.75,1.65
2025-04-13,Ein Frankfurt,Heidenheim,3,0,3.65,1.29
2025-04-19,RB Leipzig,Holstein Kiel,1,1,2.17,1.02
2025-04-19,Heidenheim,Bayern Munich,0,4,0.53,3.54
2025-04-19,Werder Bremen,Bochum,1,0,2.71,0.49
2025-04-19,Freiburg,Hoffenheim,3,2,1.55,1.95
2025-04-19,Mainz,Wolfsburg,2,2,2.68,1.81
2025-04-19,Union Berlin,Stuttgart,4,4,2.16,1.19
2025-04-20,Augsburg,Ein Frankfurt,0,0,1.14,1.4
2025-04-20,Dortmund,M'gladbach,3,2,1.18,1.22
2025-04-20,St Pauli,Leverkusen,1,1,2.32,1.13
2025-04-25,Stuttgart,Heidenheim,0,1,1.92,0.52
2025-04-26,Leverkusen,Augsburg,2,0,1.04,0.64
2025-04-26,Bayern Munich,Mainz,3,0,1.7,0.92
2025-04-26,Hoffenheim,Dortmund,2,3,1.19,2.42
2025-04-26,Wolfsburg,Freiburg,0,1,0.29,1.96
2025-04-26,Holstein Kiel,M'gladbach,4,3,3.04,2.55
2025-04-26,Ein Frankfurt,RB Leipzig,4,0,2.24,0.32
2025-04-27,Bochum,Union Berlin,1,1,1.52,0.5
2025-04-27,Werder Bremen,St Pauli,0,0,1.55,0.83
2025-05-02,Heidenheim,Bochum,0,0,0.46,1.81
2025-05-03,RB Leipzig,Bayern Munich,3,3,1.75,1.97
